event_id,timestamp,zone_id,event_type,duration_s,gender,age_range
e_008167,2025-03-10 09:00:32,Z_E2,entry,0,M,adult
e_008168,2025-03-10 09:00:42,Z_E2,exit,0,M,adult
e_008169,2025-03-10 09:01:00,Z_C1,entry,0,M,adult
e_008170,2025-03-10 09:01:05,Z_C1,linger,23,M,adult
e_008171,2025-03-10 09:01:23,Z_C1,exit,0,M,adult
e_008172,2025-03-10 09:01:38,Z_C2,entry,0,M,adult
e_008173,2025-03-10 09:01:43,Z_C2,linger,32,M,adult
e_008174,2025-03-10 09:02:10,Z_C2,exit,0,M,adult
e_008175,2025-03-10 09:02:44,Z_C3,entry,0,M,adult
e_008176,2025-03-10 09:02:47,Z_C3,linger,33,M,adult
e_002940,2025-03-10 09:02:58,Z_E2,entry,0,F,middle_aged
e_002941,2025-03-10 09:03:02,Z_E2,linger,15,F,middle_aged
e_024841,2025-03-10 09:03:03,Z_E1,entry,0,F,teenager
e_024842,2025-03-10 09:03:07,Z_E1,linger,17,F,teenager
e_002942,2025-03-10 09:03:13,Z_E2,exit,0,F,middle_aged
e_008177,2025-03-10 09:03:17,Z_C3,exit,0,M,adult
e_024843,2025-03-10 09:03:20,Z_E1,exit,0,F,teenager
e_008178,2025-03-10 09:03:31,Z_N9,entry,0,M,adult
e_008179,2025-03-10 09:03:32,Z_N9,linger,257,M,adult
e_002943,2025-03-10 09:03:37,Z_C1,entry,0,F,middle_aged
e_002944,2025-03-10 09:03:40,Z_C1,linger,24,F,middle_aged
e_024844,2025-03-10 09:03:46,Z_C1,entry,0,F,teenager
e_024845,2025-03-10 09:03:56,Z_C1,exit,0,F,teenager
e_002945,2025-03-10 09:04:01,Z_C1,exit,0,F,middle_aged
e_024846,2025-03-10 09:04:16,Z_C2,entry,0,F,teenager
e_024847,2025-03-10 09:04:19,Z_C2,linger,35,F,teenager
e_002946,2025-03-10 09:04:23,Z_C2,entry,0,F,middle_aged
e_002947,2025-03-10 09:04:27,Z_C2,linger,26,F,middle_aged
